English,Medumba
Skip to content,Tsho ntùm tshu
Change site language,Bade ntshob yen du' li num koñnkùn
CLOSE,LOGE
Log In,Tsho ntùm bwe
Search,Diag
Show Menu,La’de Tunu
Home,Netoʼde
Bible Teachings,Ntswide Ñwaʼni Nsi
Bible Questions Answered,Mbùnde mbètte Ñwaʼni Nsi
Bible Study Tools,Tshu neloʼ nziʼde Ñwaʼni Nsi yi
Teenagers,Ghuan benntùn
Children,Bônkeʼ
Library,Feʼ Ñwaʼni
Show more,Yen njoñ i fa
Online Bible,Ñwaʼni Nsi
Magazines,Ñwaʼni Nwu
Books & Brochures,Ñwaʼni bo kam buʼ ñwaʼni
Meeting Workbooks,Buʼki num ntseʼde
Kingdom Ministry,Fe ñwaʼni Nufen
Music,Kwi
Audio Dramas,Nejuʼ tshô Ñwaʼni Nsi
Dramatic Bible Readings,Juʼ mba bo siañ Ñwaʼni Nsi là
Videos,Laʼde netshañ
JW Broadcasting,Ngùayen JW
Online Library,Tshag ñwa’ni num koñnkùn
Newsroom,Ndà Nkùn
JW News,Nkùn JW
About Us,Mfà Num Bag
About Jehovah’s Witnesses,Mfà num Ghakwénta Yaweh Nsi
Frequently Asked Questions,Bètte bo yôg o
Meetings,Ntseʼde
Memorial,Nekwimde
Conventions,Mbumde ndùb
Donations,Fà bwôntù
Log In,Tsho Ntùm Bwe
Close,Loge
Jehovah’s Witnesses,Ghakwénta Yaweh Nsi
Select language Bangangté,Lo' ta' ntshob Bangangté
Log In,Tsho ntùm bwe
Search,Nédiàge
Teenagers,Ghuan benntùn
Children,Bônkeʼ
Living With Chronic Illness Can the Bible Help?,Be Ñwaʼni Nsi ywimdʼo a be zʼo ghù taʼ neta ngokèt là ké?
The Bible's Answer,Bùnde Ñwaʼni Nsi
"Regarding a faithful  the Bible says: “Jehovah himself will sustain him upon a divan servant of illness.”""",Ñwaʼni Nsi tshob mfà num taʼ ngafaʼ Nsi mbe: “[Yaweh Nsi] be ntomdʼé num kunndà ngeʼ.”
Yes. God cares about his servants who are sick.,Ñ. Nsi tshwèt nywin num ghafaʼ tse tse bo tshwèt ngon nà. Ñwaʼni Nsi tshob mfà num taʼ ngafaʼ Nsi mbe: “[Yaweh Nsi] be ntomdʼé num kunndà ngeʼ.”
"If you are living with chronic illness, the following three steps can help you to cope:","A be zʼo ghù taʼ neta ngokèt là, tshen tshu tat li kuʼni neywimdʼo:"
"You can receive “the peace of God that excels all thought,” which can reduce your anxiety and sustain you.","“Fide Nsi zʼa tshùa njoñ zenu fa là nsi béb ntù [o],” njwimdʼo nenya ke bèn nywin neshu, mbèn ntomdʼo."
Pray for strength to endure.,Leʼde Nsi a fà neta wù nefènde.
Be positive. The Bible says,Ghù mbwô nkwade. Ñwaʼni Nsi mbe
Being cheerful keeps you healthy. It is slow death to be gloomy all the time.,"Ntù zʼa num ntsiañde là bʼa taʼ fu ntùn, là ywèt tse nyuʼ vù bwe là be njumde mvôge."
"Cultivate your sense of humor, since this not only can lighten dark times but also can benefit your health.","Dùʼ mat ne nke nkom zwi, yennà aʼ ywimdʼo ngelañ kebwô, mbèn njwimdʼo num yu ntswe mebwô."
"Build your hope in the future. A sound hope can help you have joy despite chronic ailments.""","Ghù taʼ nywinde zʼa ta là mfà num ndùmànyam. Taʼ nywinde ntùn kuʼni neywimdʼo o ghù tsiañde mba tà ndù o ghù taʼ neta ngokèt"""
"Note: While acknowledging the help that God provides, Jehovah’s Witnesses also seek medical treatment for chronic illness.",Kwimde mbe: Mba tà ndù ghakwénta Yaweh Nsi num mbètte ywimde Nsi ngelañ bo tshwèt ngon nà bo num mbèn nèn ndàtshwén.
"We do not however endorse any specific medical approach; we feel that each person should make his own health decisions.""","Là bag keʼ be tènde mènntùn a bam taʼ mat netshwén wul i yi mba we lo bèn ngù neloʼ mfiʼ num ze ntswe mebwô."""
Request a return visit.,Bètte bo yôg o.
Would you like to learn more about the Bible or about Jehovah’s Witnesses?,O kô nelèn tshu yàm mfà num Ñwaʼni Nsi mba num Ghakwénta Yaweh Nsi ké?
"If so request a visit from one of Jehovah’s Witnesses by completing the form below and a Witness in your area will contact you.""","Ndùlà bètte taʼ Ngakwénta Yaweh Nsi seʼ njôg o dunde fe bètte a be mà tun nà taʼ ngakwénta ntùm yu tañlaʼ aʼ tsiañ o."""
"We will use the personal data you submit only to honor your specific request for a visit. This is in harmony with our global policy on use of personal data.""","Bag aʼ loʼ njoñ tshu fa tsʼo ki mfà bag a nke ndôtʼo lʼà ndaʼ num neloʼ ngù mènntùn seʼ yôg o mbʼo bètte là. Yenni zin ku ntshùʼ bo yag nkazin num mat neloʼ njoñ tshu fa tse benntùn ki mfà bag a nke ndôde yub là mfaʼ yi."""
"Coronavirus (COVID-19) Alert: In many areas, we have suspended our in-person visits and public meetings.",Nte bu num Coronavirus (COVID-19): Ntùm mbe’yàm tañla’ bag ke’ bèn neyôg benntun la’ bo ke bèn ngù ntse’de tèt yàme.
"Please include your telephone number when you complete this form and a Witness in your area will contact you.""","Netsho’o kide yu keki kàb ngelañ o tshwèt ndunde yen ñwa’ni li ndùlà ta’ Ngakwénta ntùm yu ntañla’ a’ tsiañ o."""
Your contact information,Tshob bag fa num ou
First name,Len là’
Last Name,Lèn mekale
Gender,Lèn mèn
male,mandum
female,menzwi
Prefered language,Ntshob ze ou kô là
Country,Ngô
Address line 1,Tshâg du’ num bag i 1
Optional,Ne tshou’ yu tu woud
Town,Tûso
Province,Tan ngô
Postal code,Keki tou’ nwa’ni
Telephone,Keki kap
Best time to contact you,Bwô ngelan num ne tsian ou
Please contact me,Netshou'ou bin tsian am
Would you say it is,Be o tshob mbe
A book of bible wisdom,ñwaʼni zenù benntùn ké
A book of myth and legends,ñwaʼni tshô baunbaun ké
The word of God,ñwaʼni ze a fe Nsi ké
What the bible says,Ñwaʼni nsi tshob ndù
All scriptures is inspired of God.,Njoñ ñwaʼni Nsi fa fe à ywèt Nsi.
What can that mean for you,A ke ntswide o a ke
Satisfying answers to life’s big questions.,A be fá mbunde mebwô num ba mbette ndùb ntùm yôg.
Reliable guidance for day-to-day living.,A be fá ntag mebwô num yôg.
Real hope for the future.,Fá nywinde num ngelañ ze a seʼ là.
Can we really believe what the Bible says?,Mbe be bam kwaʼ ju Ñwaʼni nsi tshob ké?
"Yes, for at least three reasons:","Ñ, num tshu tad:"
"Honest history. Secular historians seem quick to cover over the defeats of their people. In contrast Bible writers candidly recorded both their personal failings and those of their nation.""","Ne tshob nenùne. Ghasoñ tshô njù num lem nukebwô tshobe. Ndaʼndù ghakide Ñwaʼni Nsi ke ntshob mub fan nu mba tse ben tshobe."""
"Numerous other Bible prophecies were also fulfilled down to the smallest detail. But is that not what we would expect of the Word of God?""","Ñwaʼni Nsi ya tshob ntshob ndamnjù yame a bumde. A ke ju ze be tshwèt bib Ñwaʼni ze a fe Nsi ké? """
What Is the Kingdom of God?,Nufen Nsi be a ke?
Would you say it is,Be o tshob mbe a
something within your heart?,ju ntùm ntù o ké?
a figure of speech?,taʼ mat ne tshob ké?
a government in heaven?,taʼ nufen mve kamànyam ké?
What the bible says,Ñwaʼni nsi tshob ndù
The God of heaven will set up a kingdom that will never be destroyed.,Nsi kamànyam nsi tshoʼ moʼ nufen ze a tswe matmat là.
A son has been given to us; and the government will rest on his shoulder.,Bo bwe taʼ mén mandum be. Nu netô njù bʼa ntùm mbu mi.
A righteous government that can benefit you personally.,Ze nufen bʼa num ze be mebwô.
"In a coming new world, life in perfect health and happiness.",Yôg bo ntswe mebwô ntùm njù nswe.
"Jesus showed what God’s Kingdom will accomplish. Jesus taught his followers to pray for God’s Kingdom to come and for God’s will to be done on earth. ""","Yésu laʼde tshu tse Nufen Nsi ghù là. Yésu tswide be ne ke leʼde Nsi ndù: ghù nufen so seʼe ghù yo nekô bumde mba mfe kamànyam mba num nsitshaʼa."""
Jesus demonstrated how that prayer will be answered.,Yésu lo laʼde mba yen leʼde là nsi bumde là.
"We see those very conditions today. So we can be confident that God’s Kingdom will soon bring an end to all such problems.""","Mba be tshwét njen tshen ngeʼ là sènni là, be bam mbe Nufen Nsi ghepte num ne seʼ biagde ngeʼ."""
To think about,Na' nkwade
What will life be like under the rule of God’s Kingdom?,Yôg aʼ be a ndùke ngelañ Nufen Nsi seʼ a?
The Bible answers that question at,Ñwaʼni Nsi bunde yen bette li ntùm
"Throughout Jesus’ ministry, he taught about God’s Kingdom more than any other subject. For centuries his followers have prayed for that Kingdom to come.""","Ngelañ a nke nsoñ ntshob Nsi num nsitshaʼ là, Yésu naʼ tshob mfà num Nufen Nsi ntshùa num mba zit ju lo. Ntùm nguʼnjù yàme ghaziʼde nu i leʼde mbe yen Nufen nà seʼe."""
"The Bible is providing answers to life’s big questions for millions of people around the world. Would you like to be one of them?""","Mbeʼ yàm mbètte ndùb tse benntùn ghù ntùm njù là, ghù mbùnde mi ntùm Ñwaʼni Nsi. O kô nebe taʼ mèn netèt bo ké?"""
Remove off the old personality with its practices.,Bin sô njwèn mèn bo mfaʼ mi num bin.
Living Up to Our Name,Be fà nkuʼni lén be tshwèt nket là
What was your life like before you began studying the Bible?,Ke lèn yôg o naʼ ngù kà ntoʼde neziʼde Ñwaʼni Nsi à?
What did you discover as you studied the Bible?,Yu ziʼde Ñwaʼni Nsi ywimdʼo nejuʼ à ke?
"what does Jehovah want us to do, and what will we discuss in this article?",Yaweh Nsi tshwèt mbètte mbe be ghù à ke?
What is the old personality?,Njwèn mèn bʼa ke?
How does a person act when he is controlled by “the old personality”?,Mènntùn zʼa keʼ yoñ “nsô njwèn mèn” num i là nke ngù à ndùke?
What reasonable view should we have when it comes to stripping off the old personality?,Mènntùn kuʼni nesô njwèn mèn num i ké?
"Why does Jehovah urge us to strip off the wrong thinking and bad habits of the old personality?""","Numke Yaweh Nsi kô mbe be ghuaʼ nkwade bo ngùninu tsʼa ghù ntamde bo njwèn mèn à?"""
what choices do we have?,a bètte be tshoʼ neghù à ke?
HOW CAN YOU “STRIP OFF” THE OLD PERSONALITY?,BE KUʼNI “NESÔ” NJWÈN MÈN NUM BEN À NDÙKE?
What help can we count on to avoid wrong thinking and bad habits?,Tsit tshu bèn nkuʼni neywimde ben neghuaʼ nkwade bo ngùninu kebwô à?
What can God’s Word help you to do?,Be Ntshob Nsi ywimdʼo à ndùke?
What did you learn from Elie’s experience?,Tshô Eli nke ntswidʼo à ke?
What things does Jehovah hate?,Yaweh Nsi nke mbàn à tsit tshu à?
What does it mean to “abhor what is wicked”?,“Nebàn nukebwô” nke mbagdʼà mbe ke?
Why must we safeguard our thinking?,Numke a mbètte be béb nkwade ben à?
"What does our speech reveal, and what questions should we answer?","Ntshob ben nke ndaʼdʼà ke, be ghù nesiañde nu mfʼà num tsit mbètte à?"
What does it mean to nail our old personality “to the stake”?,Nekwémde zebe njwèn mèn num “taʼtù” nke mbagdʼà mbe ke?
Why must you be determined to continue fighting fleshly weaknesses?,Numke a mbètte o nèn mbwe nezwe bo tsho mat kebwô ke bot mbu à?
What did you find encouraging about Nabiha’s experience?,Ke zʼa tshwèt nso kù num o num tshô Nabiha à?
YOU CAN QUALIFY FOR BAPTISM!,BʼO LOʼ MFIʼ NEGHÙ NYUʼNTSE!
what have many of God’s servants been able to do?,ke ze bwoñ ghafaʼ Nsi naʼ nkuʼni neghù à?
What will the next article discuss?,Ke ze be yen ntùm ziʼde a mbwe à?
Please Hear My Prayer,Netshoʼo juʼ yàm leʼde
Print,Neféle
Share,Ghapte